"city_name","type","county","pop_2020","pop_2010","area_mi2","county_seat","incorporation_date","google_lat","google_lng"
"Laguna Woods","City","Orange",17644,16192,3.34,FALSE,"March 24, 1999",33.6101702,-117.7251162
"Lake Elsinore","City","Riverside",70265,51821,38.24,FALSE,"April 9, 1888",33.6680447,-117.3276917
"Lake Forest","City","Orange",85858,77264,16.71,FALSE,"December 20, 1991",33.6469437,-117.6861023
"Lakeport","City","Lake",5026,4753,3.06,TRUE,"April 30, 1888",39.0429506,-122.9158293
"Lakewood","City","Los Angeles",82496,80048,9.4,FALSE,"April 16, 1954",33.8508086,-118.1334072
"Lancaster","City","Los Angeles",173516,156633,94.27,FALSE,"November 22, 1977",34.703947,-118.1481016
"Larkspur","City","Marin",13064,11926,3,FALSE,"March 1, 1908",37.9340915,-122.5352539
"Lathrop","City","San Joaquin",28701,18023,19.83,FALSE,"July 1, 1989",37.8227046,-121.27661
"Lawndale","City","Los Angeles",31807,32769,1.97,FALSE,"December 28, 1959",33.887237,-118.3525744
"Lemon Grove","City","San Diego",27627,25320,3.88,FALSE,"July 1, 1977",32.7425516,-117.0314172
"Lemoore","City","Kings",27038,24531,8.81,FALSE,"July 4, 1900",36.3007835,-119.7829107
"Lincoln","City","Placer",49757,42819,24.17,FALSE,"August 7, 1890",38.891565,-121.2930079
"Lindsay","City","Tulare",12659,11768,2.72,FALSE,"February 28, 1910",36.2030064,-119.08816
"Live Oak","City","Sutter",9106,8392,3.12,FALSE,"January 22, 1947",39.2757232,-121.6599701
"Livermore","City","Alameda",87955,80968,26.45,FALSE,"April 1, 1876",37.6818688,-121.7684732
"Livingston","City","Merced",14172,13058,3.68,FALSE,"September 11, 1922",37.3868826,-120.7235329
"Lodi","City","San Joaquin",66348,62134,13.64,FALSE,"December 6, 1906",38.1341477,-121.2722194
"Loma Linda","City","San Bernardino",24791,23261,7.64,FALSE,"September 29, 1970",34.0483474,-117.2611527
"Lomita","City","Los Angeles",20921,20256,1.91,FALSE,"June 30, 1964",33.7922392,-118.3150722
"Lompoc","City","Santa Barbara",44444,42434,11.62,FALSE,"August 13, 1888",34.6391501,-120.4579409
"Long Beach","City","Los Angeles",466742,462257,50.71,FALSE,"December 13, 1897",33.7700504,-118.1937395
"Loomis","Town","Placer",6836,6430,7.27,FALSE,"December 17, 1984",38.8212889,-121.1930041
"Los Alamitos","City","Orange",11780,11449,4.01,FALSE,"March 1, 1960",33.8032009,-118.0718894
"Los Altos","City","Santa Clara",31625,28976,6.54,FALSE,"December 1, 1952",37.3813639,-122.1142578
"Los Altos Hills","Town","Santa Clara",8489,7922,9.03,FALSE,"January 27, 1956",37.3796627,-122.1374637
"Los Angeles","City","Los Angeles",3898747,3792621,469.49,TRUE,"April 4, 1850",34.0549076,-118.242643
"Los Banos","City","Merced",45532,35972,9.99,FALSE,"May 8, 1907",37.0582786,-120.8499151
"Los Gatos","Town","Santa Clara",33529,29413,11.55,FALSE,"August 10, 1887",37.2358078,-121.9623751
